#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/cemu/RNGDumpAll.bin|  2.09e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.86797959|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10563775|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.36698636|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.25353174|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.35351951|  PASSED  
        diehard_opso|   0|   2097152|     100|0.83219495|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.71501868|  PASSED  
         diehard_dna|   0|   2097152|     100|0.98355730|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.38602073|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.83843876|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.69671967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97008782|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.63721767|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.25552876|  PASSED  
        diehard_sums|   0|       100|     100|0.33500350|  PASSED  
        diehard_runs|   0|    100000|     100|0.89986992|  PASSED  
        diehard_runs|   0|    100000|     100|0.84857322|  PASSED  
       diehard_craps|   0|    200000|     100|0.37255937|  PASSED  
       diehard_craps|   0|    200000|     100|0.96681486|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.21714930|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96530876|  PASSED  
         sts_monobit|   1|    100000|     100|0.57993464|  PASSED  
            sts_runs|   2|    100000|     100|0.30641180|  PASSED  
          sts_serial|   1|    100000|     100|0.53285585|  PASSED  
          sts_serial|   2|    100000|     100|0.43833877|  PASSED  
          sts_serial|   3|    100000|     100|0.79108040|  PASSED  
          sts_serial|   3|    100000|     100|0.98387372|  PASSED  
          sts_serial|   4|    100000|     100|0.85390462|  PASSED  
          sts_serial|   4|    100000|     100|0.27107404|  PASSED  
          sts_serial|   5|    100000|     100|0.42798242|  PASSED  
          sts_serial|   5|    100000|     100|0.92204551|  PASSED  
          sts_serial|   6|    100000|     100|0.67359872|  PASSED  
          sts_serial|   6|    100000|     100|0.65502251|  PASSED  
          sts_serial|   7|    100000|     100|0.53108589|  PASSED  
          sts_serial|   7|    100000|     100|0.49785793|  PASSED  
          sts_serial|   8|    100000|     100|0.30911707|  PASSED  
          sts_serial|   8|    100000|     100|0.52260784|  PASSED  
          sts_serial|   9|    100000|     100|0.25874215|  PASSED  
          sts_serial|   9|    100000|     100|0.74011229|  PASSED  
          sts_serial|  10|    100000|     100|0.57232657|  PASSED  
          sts_serial|  10|    100000|     100|0.56634698|  PASSED  
          sts_serial|  11|    100000|     100|0.99999832|   WEAK   
          sts_serial|  11|    100000|     100|0.25510067|  PASSED  
          sts_serial|  12|    100000|     100|0.72696488|  PASSED  
          sts_serial|  12|    100000|     100|0.39047880|  PASSED  
          sts_serial|  13|    100000|     100|0.99041294|  PASSED  
          sts_serial|  13|    100000|     100|0.91237540|  PASSED  
          sts_serial|  14|    100000|     100|0.22371780|  PASSED  
          sts_serial|  14|    100000|     100|0.71565817|  PASSED  
          sts_serial|  15|    100000|     100|0.76845990|  PASSED  
          sts_serial|  15|    100000|     100|0.36191310|  PASSED  
          sts_serial|  16|    100000|     100|0.92178413|  PASSED  
          sts_serial|  16|    100000|     100|0.60425175|  PASSED  
