#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.95231986|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.11229999|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.27926108|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.99965343|   WEAK   
   diehard_bitstream|   0|   2097152|     100|0.94279257|  PASSED  
        diehard_opso|   0|   2097152|     100|0.87214527|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.74216342|  PASSED  
         diehard_dna|   0|   2097152|     100|0.56226868|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.23299932|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.71063705|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.48712953|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.31873233|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.48347955|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.68600682|  PASSED  
        diehard_sums|   0|       100|     100|0.52410564|  PASSED  
        diehard_runs|   0|    100000|     100|0.98837873|  PASSED  
        diehard_runs|   0|    100000|     100|0.53334815|  PASSED  
       diehard_craps|   0|    200000|     100|0.16613197|  PASSED  
       diehard_craps|   0|    200000|     100|0.61687198|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98728951|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65461097|  PASSED  
         sts_monobit|   1|    100000|     100|0.46186814|  PASSED  
            sts_runs|   2|    100000|     100|0.91860213|  PASSED  
          sts_serial|   1|    100000|     100|0.78602366|  PASSED  
          sts_serial|   2|    100000|     100|0.10740841|  PASSED  
