#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.74e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.65250264|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.74445929|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.80179027|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.92283122|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.56612170|  PASSED  
        diehard_opso|   0|   2097152|     100|0.18751433|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.32854290|  PASSED  
         diehard_dna|   0|   2097152|     100|0.07252620|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.41553762|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.35860325|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.88608315|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.95573409|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.11501527|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.62695644|  PASSED  
        diehard_sums|   0|       100|     100|0.20742013|  PASSED  
        diehard_runs|   0|    100000|     100|0.73335325|  PASSED  
        diehard_runs|   0|    100000|     100|0.35767044|  PASSED  
       diehard_craps|   0|    200000|     100|0.76583986|  PASSED  
       diehard_craps|   0|    200000|     100|0.90084880|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.74499805|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98727278|  PASSED  
         sts_monobit|   1|    100000|     100|0.78119233|  PASSED  
            sts_runs|   2|    100000|     100|0.26110612|  PASSED  
          sts_serial|   1|    100000|     100|0.76656868|  PASSED  
          sts_serial|   2|    100000|     100|0.96847423|  PASSED  
          sts_serial|   3|    100000|     100|0.72449829|  PASSED  
          sts_serial|   3|    100000|     100|0.45589944|  PASSED  
          sts_serial|   4|    100000|     100|0.73037530|  PASSED  
          sts_serial|   4|    100000|     100|0.89826362|  PASSED  
          sts_serial|   5|    100000|     100|0.91061797|  PASSED  
          sts_serial|   5|    100000|     100|0.39069341|  PASSED  
          sts_serial|   6|    100000|     100|0.80826636|  PASSED  
          sts_serial|   6|    100000|     100|0.22099550|  PASSED  
          sts_serial|   7|    100000|     100|0.04831860|  PASSED  
          sts_serial|   7|    100000|     100|0.58128306|  PASSED  
          sts_serial|   8|    100000|     100|0.98225600|  PASSED  
          sts_serial|   8|    100000|     100|0.88377331|  PASSED  
          sts_serial|   9|    100000|     100|0.58175813|  PASSED  
          sts_serial|   9|    100000|     100|0.92146813|  PASSED  
          sts_serial|  10|    100000|     100|0.94817226|  PASSED  
          sts_serial|  10|    100000|     100|0.98915406|  PASSED  
          sts_serial|  11|    100000|     100|0.80560467|  PASSED  
          sts_serial|  11|    100000|     100|0.33066534|  PASSED  
          sts_serial|  12|    100000|     100|0.55728827|  PASSED  
          sts_serial|  12|    100000|     100|0.73544615|  PASSED  
          sts_serial|  13|    100000|     100|0.74607942|  PASSED  
          sts_serial|  13|    100000|     100|0.54993173|  PASSED  
          sts_serial|  14|    100000|     100|0.66198457|  PASSED  
          sts_serial|  14|    100000|     100|0.24713960|  PASSED  
          sts_serial|  15|    100000|     100|0.03890826|  PASSED  
          sts_serial|  15|    100000|     100|0.41999192|  PASSED  
          sts_serial|  16|    100000|     100|0.30474441|  PASSED  
          sts_serial|  16|    100000|     100|0.11480472|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.99244954|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99747496|   WEAK   
         rgb_bitdist|   3|    100000|     100|0.62539849|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.20983147|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.37761448|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.02370480|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.59056470|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.13448259|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.92195823|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.69081686|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.28583262|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.64508207|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.24064642|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.53730060|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.28759749|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.14349621|  PASSED  
    rgb_permutations|   2|    100000|     100|0.47588138|  PASSED  
    rgb_permutations|   3|    100000|     100|0.78135378|  PASSED  
    rgb_permutations|   4|    100000|     100|0.74796815|  PASSED  
    rgb_permutations|   5|    100000|     100|0.90937339|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.09102657|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.78057135|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.41393613|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.93672592|  PASSED  
