#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revL/RNGDumpAll.bin|  1.22e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.66745803|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.05163918|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.42871628|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.28167073|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.86413260|  PASSED  
        diehard_opso|   0|   2097152|     100|0.54964022|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99330505|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00724091|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.10336462|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.93715782|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96373014|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99765219|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.97547275|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.86374142|  PASSED  
        diehard_sums|   0|       100|     100|0.23555970|  PASSED  
        diehard_runs|   0|    100000|     100|0.39542570|  PASSED  
        diehard_runs|   0|    100000|     100|0.91594495|  PASSED  
       diehard_craps|   0|    200000|     100|0.58523616|  PASSED  
       diehard_craps|   0|    200000|     100|0.68343425|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96323098|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51547549|  PASSED  
         sts_monobit|   1|    100000|     100|0.96722149|  PASSED  
            sts_runs|   2|    100000|     100|0.19534603|  PASSED  
          sts_serial|   1|    100000|     100|0.53839591|  PASSED  
          sts_serial|   2|    100000|     100|0.82745475|  PASSED  
          sts_serial|   3|    100000|     100|0.08017141|  PASSED  
          sts_serial|   3|    100000|     100|0.99325780|  PASSED  
          sts_serial|   4|    100000|     100|0.00452774|   WEAK   
          sts_serial|   4|    100000|     100|0.00332135|   WEAK   
          sts_serial|   5|    100000|     100|0.51544886|  PASSED  
          sts_serial|   5|    100000|     100|0.92325488|  PASSED  
          sts_serial|   6|    100000|     100|0.70204497|  PASSED  
          sts_serial|   6|    100000|     100|0.52848035|  PASSED  
          sts_serial|   7|    100000|     100|0.89168963|  PASSED  
          sts_serial|   7|    100000|     100|0.91168000|  PASSED  
          sts_serial|   8|    100000|     100|0.60298458|  PASSED  
          sts_serial|   8|    100000|     100|0.56950821|  PASSED  
          sts_serial|   9|    100000|     100|0.99191133|  PASSED  
          sts_serial|   9|    100000|     100|0.66289922|  PASSED  
          sts_serial|  10|    100000|     100|0.97265087|  PASSED  
          sts_serial|  10|    100000|     100|0.70125994|  PASSED  
          sts_serial|  11|    100000|     100|0.66389097|  PASSED  
          sts_serial|  11|    100000|     100|0.68036593|  PASSED  
          sts_serial|  12|    100000|     100|0.48975265|  PASSED  
          sts_serial|  12|    100000|     100|0.85337390|  PASSED  
          sts_serial|  13|    100000|     100|0.38981593|  PASSED  
          sts_serial|  13|    100000|     100|0.68902088|  PASSED  
          sts_serial|  14|    100000|     100|0.79913469|  PASSED  
          sts_serial|  14|    100000|     100|0.50004215|  PASSED  
          sts_serial|  15|    100000|     100|0.88294964|  PASSED  
          sts_serial|  15|    100000|     100|0.26338204|  PASSED  
          sts_serial|  16|    100000|     100|0.71562697|  PASSED  
          sts_serial|  16|    100000|     100|0.68400664|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.53981039|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.57321356|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.01142734|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.50295603|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.93951171|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.87511262|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.07957067|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.39856950|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.81625237|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.27871679|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.27623868|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.36162797|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.23747560|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.97026499|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.26477586|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.00074130|   WEAK   
    rgb_permutations|   2|    100000|     100|0.66232424|  PASSED  
    rgb_permutations|   3|    100000|     100|0.23836774|  PASSED  
    rgb_permutations|   4|    100000|     100|0.29376415|  PASSED  
    rgb_permutations|   5|    100000|     100|0.11873106|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.93590513|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.33620253|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.80436706|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.56066916|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.64004640|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.01077638|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.43106181|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.75354911|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.25992360|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.30400766|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.89331826|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.98821314|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.88199547|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.66585717|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.23090059|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.84300999|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.79796964|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.91934249|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.89487391|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.44077689|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.83429576|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.44635551|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.62610374|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.35105754|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.84761736|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.48340834|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.02950556|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.11653891|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.23950563|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.20246161|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.18095064|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.99041092|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.94815101|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.99703716|   WEAK   
     dab_bytedistrib|   0|  51200000|       1|0.03651025|  PASSED  
             dab_dct| 256|     50000|       1|0.60854151|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.37504125|  PASSED  
        dab_filltree|  32|  15000000|       1|0.24638170|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.10630133|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.69575421|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.42840190|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revL/RNGDumpAll.bin|  1.27e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.12026432|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.13303093|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51289021|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.36805464|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.45707460|  PASSED  
        diehard_opso|   0|   2097152|     100|0.97996227|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.05581615|  PASSED  
         diehard_dna|   0|   2097152|     100|0.77524703|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.96750797|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.04086070|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97346195|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.42160537|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.24266692|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.85370357|  PASSED  
        diehard_sums|   0|       100|     100|0.06976996|  PASSED  
        diehard_runs|   0|    100000|     100|0.59105348|  PASSED  
        diehard_runs|   0|    100000|     100|0.83218137|  PASSED  
       diehard_craps|   0|    200000|     100|0.07319624|  PASSED  
       diehard_craps|   0|    200000|     100|0.78847669|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.54853953|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67658821|  PASSED  
         sts_monobit|   1|    100000|     100|0.31131119|  PASSED  
            sts_runs|   2|    100000|     100|0.61382384|  PASSED  
          sts_serial|   1|    100000|     100|0.32441333|  PASSED  
          sts_serial|   2|    100000|     100|0.88193391|  PASSED  
          sts_serial|   3|    100000|     100|0.64402729|  PASSED  
          sts_serial|   3|    100000|     100|0.64146272|  PASSED  
          sts_serial|   4|    100000|     100|0.53283137|  PASSED  
          sts_serial|   4|    100000|     100|0.54549544|  PASSED  
          sts_serial|   5|    100000|     100|0.09848611|  PASSED  
          sts_serial|   5|    100000|     100|0.30338173|  PASSED  
          sts_serial|   6|    100000|     100|0.18179177|  PASSED  
          sts_serial|   6|    100000|     100|0.71891851|  PASSED  
          sts_serial|   7|    100000|     100|0.50108922|  PASSED  
          sts_serial|   7|    100000|     100|0.44590578|  PASSED  
          sts_serial|   8|    100000|     100|0.30444378|  PASSED  
          sts_serial|   8|    100000|     100|0.86300385|  PASSED  
          sts_serial|   9|    100000|     100|0.34685305|  PASSED  
          sts_serial|   9|    100000|     100|0.56632239|  PASSED  
          sts_serial|  10|    100000|     100|0.86708897|  PASSED  
          sts_serial|  10|    100000|     100|0.60716750|  PASSED  
          sts_serial|  11|    100000|     100|0.97525117|  PASSED  
          sts_serial|  11|    100000|     100|0.73913699|  PASSED  
          sts_serial|  12|    100000|     100|0.67226361|  PASSED  
          sts_serial|  12|    100000|     100|0.66144669|  PASSED  
          sts_serial|  13|    100000|     100|0.39447542|  PASSED  
          sts_serial|  13|    100000|     100|0.81839714|  PASSED  
          sts_serial|  14|    100000|     100|0.11491404|  PASSED  
          sts_serial|  14|    100000|     100|0.09185847|  PASSED  
          sts_serial|  15|    100000|     100|0.07777623|  PASSED  
          sts_serial|  15|    100000|     100|0.48983440|  PASSED  
          sts_serial|  16|    100000|     100|0.02114108|  PASSED  
          sts_serial|  16|    100000|     100|0.37125107|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.16939900|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.33471273|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.97824368|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99643387|   WEAK   
         rgb_bitdist|   5|    100000|     100|0.42542762|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.01209588|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.95416733|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.59420961|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.99197165|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.80831739|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.18585812|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.37850055|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.46585606|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.86057886|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.39397967|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.04134600|  PASSED  
    rgb_permutations|   2|    100000|     100|0.26229620|  PASSED  
    rgb_permutations|   3|    100000|     100|0.50408700|  PASSED  
    rgb_permutations|   4|    100000|     100|0.73706411|  PASSED  
    rgb_permutations|   5|    100000|     100|0.55340967|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.02447184|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.86363441|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.49787087|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.69213660|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.83428069|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.95939590|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.81346483|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.35155737|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.97679251|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.02199782|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.95054642|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.24776258|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.24445086|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.22386619|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.18466316|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.86613637|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.94178459|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.03819705|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.94706030|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.97831392|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.61923747|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.38427605|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.45694271|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.82246969|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.93493710|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.68437045|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.96779049|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.36613895|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.81895398|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.75544871|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.85414173|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.92752074|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.98129996|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.79734020|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.39393403|  PASSED  
             dab_dct| 256|     50000|       1|0.90082771|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.96730923|  PASSED  
        dab_filltree|  32|  15000000|       1|0.91712651|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.96626928|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.08368002|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99580350|   WEAK   
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revL/RNGDumpAll.bin|  1.26e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.55833201|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.35182241|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97134266|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.57695793|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.21923587|  PASSED  
        diehard_opso|   0|   2097152|     100|0.92922456|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.97184147|  PASSED  
         diehard_dna|   0|   2097152|     100|0.24874951|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.54708125|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.74478662|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.25249632|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.81352026|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98072591|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.95354147|  PASSED  
        diehard_sums|   0|       100|     100|0.04326133|  PASSED  
        diehard_runs|   0|    100000|     100|0.25608172|  PASSED  
        diehard_runs|   0|    100000|     100|0.90736370|  PASSED  
       diehard_craps|   0|    200000|     100|0.99978567|   WEAK   
       diehard_craps|   0|    200000|     100|0.06086402|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05688263|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.72129351|  PASSED  
         sts_monobit|   1|    100000|     100|0.05606262|  PASSED  
            sts_runs|   2|    100000|     100|0.90964355|  PASSED  
          sts_serial|   1|    100000|     100|0.19010223|  PASSED  
          sts_serial|   2|    100000|     100|0.82571022|  PASSED  
          sts_serial|   3|    100000|     100|0.36435459|  PASSED  
          sts_serial|   3|    100000|     100|0.35937603|  PASSED  
          sts_serial|   4|    100000|     100|0.72069231|  PASSED  
          sts_serial|   4|    100000|     100|0.93488231|  PASSED  
          sts_serial|   5|    100000|     100|0.98482960|  PASSED  
          sts_serial|   5|    100000|     100|0.17804807|  PASSED  
          sts_serial|   6|    100000|     100|0.86621060|  PASSED  
          sts_serial|   6|    100000|     100|0.43316850|  PASSED  
          sts_serial|   7|    100000|     100|0.62561739|  PASSED  
          sts_serial|   7|    100000|     100|0.12252678|  PASSED  
          sts_serial|   8|    100000|     100|0.22364816|  PASSED  
          sts_serial|   8|    100000|     100|0.62676992|  PASSED  
          sts_serial|   9|    100000|     100|0.62851338|  PASSED  
          sts_serial|   9|    100000|     100|0.06474520|  PASSED  
          sts_serial|  10|    100000|     100|0.89088627|  PASSED  
          sts_serial|  10|    100000|     100|0.88384309|  PASSED  
          sts_serial|  11|    100000|     100|0.72048357|  PASSED  
          sts_serial|  11|    100000|     100|0.30136408|  PASSED  
          sts_serial|  12|    100000|     100|0.16737144|  PASSED  
          sts_serial|  12|    100000|     100|0.48294088|  PASSED  
          sts_serial|  13|    100000|     100|0.34438000|  PASSED  
          sts_serial|  13|    100000|     100|0.97659486|  PASSED  
          sts_serial|  14|    100000|     100|0.99103390|  PASSED  
          sts_serial|  14|    100000|     100|0.12902639|  PASSED  
          sts_serial|  15|    100000|     100|0.46463376|  PASSED  
          sts_serial|  15|    100000|     100|0.98195300|  PASSED  
          sts_serial|  16|    100000|     100|0.62265156|  PASSED  
          sts_serial|  16|    100000|     100|0.88779712|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.61922552|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.11138558|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.87263366|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.71776717|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.48077314|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.26381918|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.19374100|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.20371801|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.90655461|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.64844203|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.52756613|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.60326662|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.37965969|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.88050163|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.20488796|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.10144193|  PASSED  
    rgb_permutations|   2|    100000|     100|0.98375201|  PASSED  
    rgb_permutations|   3|    100000|     100|0.97484392|  PASSED  
    rgb_permutations|   4|    100000|     100|0.36395968|  PASSED  
    rgb_permutations|   5|    100000|     100|0.22181491|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.84202616|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.03560835|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.46720265|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.86327039|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.31914370|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.39427866|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.38650602|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.94764310|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.93343235|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.85234979|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.88448544|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.29971619|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.00390530|   WEAK   
      rgb_lagged_sum|  13|   1000000|     100|0.54701809|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.75459203|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.51501773|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.55489372|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.80927945|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.99684852|   WEAK   
      rgb_lagged_sum|  19|   1000000|     100|0.38272977|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.06141311|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.36920475|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.35067474|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.97628521|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.45101634|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.56717798|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.90146335|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.72821339|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.88323313|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.88103276|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.27112890|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.18273981|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.30864187|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.88529655|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.04704479|  PASSED  
             dab_dct| 256|     50000|       1|0.75254668|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.60468960|  PASSED  
        dab_filltree|  32|  15000000|       1|0.92109627|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.37919914|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.69161537|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.29895990|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revL/RNGDumpAll.bin|  1.39e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88088068|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.89405204|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.59731794|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.93127634|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13612524|  PASSED  
        diehard_opso|   0|   2097152|     100|0.71571557|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.01003177|  PASSED  
         diehard_dna|   0|   2097152|     100|0.04542704|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.90099448|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.78049143|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.34620912|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97666207|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.59069391|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.67075151|  PASSED  
        diehard_sums|   0|       100|     100|0.06017494|  PASSED  
        diehard_runs|   0|    100000|     100|0.13254166|  PASSED  
        diehard_runs|   0|    100000|     100|0.66733320|  PASSED  
       diehard_craps|   0|    200000|     100|0.36815292|  PASSED  
       diehard_craps|   0|    200000|     100|0.04224355|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67621471|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.52907871|  PASSED  
         sts_monobit|   1|    100000|     100|0.37294904|  PASSED  
