#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revN/RNGDumpAll.bin|  1.25e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.35340423|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.79948044|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.68922295|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.64408142|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.40985479|  PASSED  
        diehard_opso|   0|   2097152|     100|0.95341322|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.34221866|  PASSED  
         diehard_dna|   0|   2097152|     100|0.85640943|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.46066089|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.50121313|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.71266869|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.54759466|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.31141316|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.99211911|  PASSED  
        diehard_sums|   0|       100|     100|0.46298602|  PASSED  
        diehard_runs|   0|    100000|     100|0.55325585|  PASSED  
        diehard_runs|   0|    100000|     100|0.92405184|  PASSED  
       diehard_craps|   0|    200000|     100|0.74698803|  PASSED  
       diehard_craps|   0|    200000|     100|0.58346332|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63877155|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.58638550|  PASSED  
         sts_monobit|   1|    100000|     100|0.67635325|  PASSED  
            sts_runs|   2|    100000|     100|0.08206790|  PASSED  
          sts_serial|   1|    100000|     100|0.70105857|  PASSED  
          sts_serial|   2|    100000|     100|0.32230148|  PASSED  
          sts_serial|   3|    100000|     100|0.86134374|  PASSED  
          sts_serial|   3|    100000|     100|0.37419636|  PASSED  
          sts_serial|   4|    100000|     100|0.72336491|  PASSED  
          sts_serial|   4|    100000|     100|0.52220701|  PASSED  
          sts_serial|   5|    100000|     100|0.89199153|  PASSED  
          sts_serial|   5|    100000|     100|0.89514047|  PASSED  
          sts_serial|   6|    100000|     100|0.48599672|  PASSED  
          sts_serial|   6|    100000|     100|0.32093931|  PASSED  
          sts_serial|   7|    100000|     100|0.38273341|  PASSED  
          sts_serial|   7|    100000|     100|0.67452381|  PASSED  
          sts_serial|   8|    100000|     100|0.80116078|  PASSED  
          sts_serial|   8|    100000|     100|0.92840849|  PASSED  
          sts_serial|   9|    100000|     100|0.99570692|   WEAK   
          sts_serial|   9|    100000|     100|0.99404628|  PASSED  
          sts_serial|  10|    100000|     100|0.41083020|  PASSED  
          sts_serial|  10|    100000|     100|0.13329660|  PASSED  
          sts_serial|  11|    100000|     100|0.99915578|   WEAK   
          sts_serial|  11|    100000|     100|0.15883161|  PASSED  
          sts_serial|  12|    100000|     100|0.97679987|  PASSED  
          sts_serial|  12|    100000|     100|0.36448034|  PASSED  
          sts_serial|  13|    100000|     100|0.92845794|  PASSED  
          sts_serial|  13|    100000|     100|0.96435473|  PASSED  
          sts_serial|  14|    100000|     100|0.52813385|  PASSED  
          sts_serial|  14|    100000|     100|0.90627238|  PASSED  
          sts_serial|  15|    100000|     100|0.94571578|  PASSED  
          sts_serial|  15|    100000|     100|0.68675590|  PASSED  
          sts_serial|  16|    100000|     100|0.57444118|  PASSED  
          sts_serial|  16|    100000|     100|0.32566417|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.67014910|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.67648758|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.70592284|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.74990038|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.02944914|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.34332227|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.92149138|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.00184391|   WEAK   
         rgb_bitdist|   9|    100000|     100|0.98548843|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.32552495|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.10708385|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.27347063|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.57856732|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.72130804|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.64509942|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.98836993|  PASSED  
    rgb_permutations|   2|    100000|     100|0.37276249|  PASSED  
    rgb_permutations|   3|    100000|     100|0.00710225|  PASSED  
    rgb_permutations|   4|    100000|     100|0.32640472|  PASSED  
    rgb_permutations|   5|    100000|     100|0.88197617|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.69554922|  PASSED  
